paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2405.12299,Perturbing the Gradient for Alleviating Meta Overfitting,https://github.com/manasgg44/meta_overfit,tf,2024.0,other_ml,,True,True
2304.05869,LMR: Lane Distance-Based Metric for Trajectory Prediction,https://github.com/schmidt-ju/lane-miss-rate,none,2023.0,other_ml,,True,True
2412.14642,TOMG-Bench: Evaluating LLMs on Text-based Open Molecule Generation,https://github.com/phenixace/tomg-bench,pytorch,2024.0,other_ml,,True,True
2203.07807,End-to-end P300 BCI using Bayesian accumulation of Riemannian probabilities,https://github.com/timeflux/demos,none,2022.0,other_ml,,True,True
2401.16024,Probabilistic Abduction for Visual Abstract Reasoning via Learning Rules in Vector-symbolic Architectures,https://github.com/ibm/learn-vector-symbolic-architectures-rule-formulations,pytorch,2024.0,other_ml,,True,True
2406.12742,"Benchmarking Multi-Image Understanding in Vision and Language Models: Perception, Knowledge, Reasoning, and Multi-Hop Reasoning",https://github.com/dtennant/mirb_eval,pytorch,2024.0,other_ml,,True,True
2312.04328,A Multi-scale Information Integration Framework for Infrared and Visible Image Fusion,https://github.com/ssyangguang/mda,pytorch,2023.0,other_ml,,True,True
2410.07627,Automatic Curriculum Expert Iteration for Reliable LLM Reasoning,https://github.com/salesforceairesearch/auto-cei,none,2024.0,other_ml,,True,True
2209.10926,Equivariant Transduction through Invariant Alignment,https://github.com/rycolab/equivariant-transduction,pytorch,2022.0,other_ml,,True,True
2209.10637,Benchmarking Apache Spark and Hadoop MapReduce on Big Data Classification,https://github.com/tekdogan/iccbdc-21,none,2022.0,other_ml,,True,True
2406.17911,X-ray Made Simple: Lay Radiology Report Generation and Robust Evaluation,https://github.com/hegehongcha/laymanrrg,none,2024.0,other_ml,,True,True
2409.17020,PTQ4RIS: Post-Training Quantization for Referring Image Segmentation,https://github.com/gugu511yy/ptq4ris,pytorch,2024.0,computer_vision,,True,True
2303.02437,ConZIC: Controllable Zero-shot Image Captioning by Sampling-Based Polishing,https://github.com/joeyz0z/conzic,pytorch,2023.0,computer_vision,,True,True
2212.01529,Laplacian Convolutional Representation for Traffic Time Series Imputation,https://github.com/xinychen/transdim,tf,2022.0,computer_vision,,True,True
2307.14786,Towards Deeply Unified Depth-aware Panoptic Segmentation with Bi-directional Guidance Learning,https://github.com/jwh97nn/DeepDPS,pytorch,2023.0,computer_vision,,True,True
2503.18483,Explaining Domain Shifts in Language: Concept erasing for Interpretable Image Classification,https://github.com/joeyz0z/lance,pytorch,2025.0,computer_vision,,True,True
2403.15063,"Towards a Comprehensive, Efficient and Promptable Anatomic Structure Segmentation Model using 3D Whole-body CT Scans",https://github.com/alibaba-damo-academy/ct-sam3d,pytorch,2024.0,computer_vision,,True,True
2410.23775,In-Context LoRA for Diffusion Transformers,https://github.com/ali-vilab/In-Context-LoRA,none,2024.0,computer_vision,,True,True
2408.04449,EARBench: Towards Evaluating Physical Risk Awareness for Task Planning of Foundation Model-based Embodied AI Agents,https://github.com/zihao-ai/earbench,none,2024.0,computer_vision,,True,True
2208.02355,CAVE: Cerebral Artery-Vein Segmentation in Digital Subtraction Angiography,https://github.com/ruishengsu/cave_dsa,pytorch,2022.0,computer_vision,,True,True
2405.01725,Development of Skip Connection in Deep Neural Networks for Computer Vision and Medical Image Analysis: A Survey,https://github.com/apple1986/residual_learning_for_images,pytorch,2024.0,computer_vision,,True,True
2310.15317,Exploring the Potential of Large Language Models in Generating Code-Tracing Questions for Introductory Programming Courses,https://github.com/aysafanxm/llm_code_tracing_question_generation,none,2023.0,uncategorized,,True,True
2301.12151,Selecting Models based on the Risk of Damage Caused by Adversarial Attacks,https://github.com/duesenfranz/risk_scores_paper_code,none,2023.0,uncategorized,,True,True
2412.19537,Finger in Camera Speaks Everything: Unconstrained Air-Writing for Real-World,https://github.com/wmeiqi/awcv,none,2024.0,uncategorized,,True,True
2412.03676,JPC: Flexible Inference for Predictive Coding Networks in JAX,https://github.com/thebuckleylab/jpc,jax,2024.0,uncategorized,,True,True
2407.09835,Investigating Low-Rank Training in Transformer Language Models: Efficiency and Scaling Analysis,https://github.com/claire-labo/structuredffn,pytorch,2024.0,uncategorized,,True,True
2212.01515,Orders Are Unwanted: Dynamic Deep Graph Convolutional Network for Personality Detection,https://github.com/djz233/d-dgcn,pytorch,2022.0,uncategorized,,True,True
2401.12033,Momentum-SAM: Sharpness Aware Minimization without Computational Overhead,https://github.com/marlonbecker/msam,pytorch,2024.0,uncategorized,,True,True
