paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2405.12299,Perturbing the Gradient for Alleviating Meta Overfitting,https://github.com/manasgg44/meta_overfit,tf,2024,other_ml,,True,True
2304.05869,LMR: Lane Distance-Based Metric for Trajectory Prediction,https://github.com/schmidt-ju/lane-miss-rate,none,2023,other_ml,,True,True
2412.14642,TOMG-Bench: Evaluating LLMs on Text-based Open Molecule Generation,https://github.com/phenixace/tomg-bench,pytorch,2024,other_ml,,True,True
2203.07807,End-to-end P300 BCI using Bayesian accumulation of Riemannian probabilities,https://github.com/timeflux/demos,none,2022,other_ml,,True,True
2401.16024,Probabilistic Abduction for Visual Abstract Reasoning via Learning Rules in Vector-symbolic Architectures,https://github.com/ibm/learn-vector-symbolic-architectures-rule-formulations,pytorch,2024,other_ml,,True,True
2406.12742,"Benchmarking Multi-Image Understanding in Vision and Language Models: Perception, Knowledge, Reasoning, and Multi-Hop Reasoning",https://github.com/dtennant/mirb_eval,pytorch,2024,other_ml,,True,True
2312.04328,A Multi-scale Information Integration Framework for Infrared and Visible Image Fusion,https://github.com/ssyangguang/mda,pytorch,2023,other_ml,,True,True
2410.07627,Automatic Curriculum Expert Iteration for Reliable LLM Reasoning,https://github.com/salesforceairesearch/auto-cei,none,2024,other_ml,,True,True
2209.10926,Equivariant Transduction through Invariant Alignment,https://github.com/rycolab/equivariant-transduction,pytorch,2022,other_ml,,True,True
2209.10637,Benchmarking Apache Spark and Hadoop MapReduce on Big Data Classification,https://github.com/tekdogan/iccbdc-21,none,2022,other_ml,,True,True
2406.17911,X-ray Made Simple: Lay Radiology Report Generation and Robust Evaluation,https://github.com/hegehongcha/laymanrrg,none,2024,other_ml,,True,True
2204.13886,Learning Adaptive Warping for Real-World Rolling Shutter Correction,https://github.com/ljzycmd/bsrsc,pytorch,2022,other_ml,,True,True
2306.09296,KoLA: Carefully Benchmarking World Knowledge of Large Language Models,https://github.com/thu-keg/kola,none,2023,other_ml,,True,True
2402.05675,Is Adversarial Training with Compressed Datasets Effective?,https://github.com/saintslab/pytoch,pytorch,2024,other_ml,,True,True
2211.04867,Trackerless freehand ultrasound with sequence modelling and auxiliary transformation over past and future frames,https://github.com/ucl-candi/freehand,pytorch,2022,other_ml,,True,True
2308.11771,3ET: Efficient Event-based Eye Tracking using a Change-Based ConvLSTM Network,https://github.com/qinche106/cb-convlstm-eyetracking,pytorch,2023,other_ml,,True,True
2408.07545,$χ$SPN: Characteristic Interventional Sum-Product Networks for Causal Inference in Hybrid Domains,https://github.com/harpoonix/chi-spn,pytorch,2024,other_ml,,True,True
2206.06644,SpecNet2: Orthogonalization-free spectral embedding by neural networks,https://github.com/ziyuchen7/specnet2,none,2022,other_ml,,True,True
2203.06468,Unsupervised Lifelong Person Re-identification via Contrastive Rehearsal,https://github.com/chenhao2345/ucr,pytorch,2022,other_ml,,True,True
2401.17728,COMET: Contrastive Mean Teacher for Online Source-Free Universal Domain Adaptation,https://github.com/pascalschlachter/comet,pytorch,2024,other_ml,,True,True
2310.03738,Robust Novelty Detection through Style-Conscious Feature Ranking,https://github.com/bit-ml/Stylist,pytorch,2023,other_ml,,True,True
2504.17568,Beyond Cox Models: Assessing the Performance of Machine-Learning Methods in Non-Proportional Hazards and Non-Linear Survival Analysis,https://github.com/compbiomed-unito/survhive,none,2025,other_ml,,True,True
2410.17309,Literature Meets Data: A Synergistic Approach to Hypothesis Generation,https://github.com/chicagohai/hypothesis-generation,none,2024,other_ml,,True,True
2406.11827,WPO: Enhancing RLHF with Weighted Preference Optimization,https://github.com/wzhouad/wpo,pytorch,2024,other_ml,,True,True
2212.08846,Painterly Image Harmonization in Dual Domains,https://github.com/bcmi/phdnet-painterly-image-harmonization,pytorch,2022,other_ml,,True,True
